"obsY"	"id"	"ageY"	"capWgt"	"isRepro1"	"lambNum1"	"growth"	"nao_winter"	"abundance"
1990	"VEEQ4708"	6	25.8	1	1	21.8	0.2065	127
1990	"ZWRH4682"	0	12.7	0	0	18	0.2065	127
1990	"ORGU8001"	1	16.1	1	1	20.7	0.2065	127
1990	"RWKZ0398"	6	25	1	1	23.4	0.2065	127
1990	"UXZE2553"	1	18.3	1	1	17.9	0.2065	127
1990	"EHQO4014"	0	15.8	0	0	19	0.2065	127
1990	"IRDL9855"	3	23.7	1	1	23.3	0.2065	127
1990	"OJOU3473"	6	24.8	1	1	24.9	0.2065	127
1990	"HTOQ9828"	0	16.6	0	0	23.8	0.2065	127
1990	"SXEO0331"	0	13.1	0	0	19.6	0.2065	127
1990	"TRWH3798"	7	22.4	1	1	21.8	0.2065	127
1990	"KEJV0999"	6	28.5	1	2	27.9	0.2065	127
1990	"OVWS3550"	3	26.7	0	0	25.9	0.2065	127
1990	"LIXR0079"	4	29	1	1	29.2	0.2065	127
1990	"PCQL3978"	4	27.7	1	2	24.6	0.2065	127
1990	"JJEM3846"	1	16.6	1	1	18.1	0.2065	127
1990	"HAVB5835"	3	26.4	1	1	26.4	0.2065	127
1990	"RVMQ2359"	0	14.1	0	0	21.2	0.2065	127
1990	"JRHQ9757"	1	23.6	1	1	24.4	0.2065	127
1990	"CDKO1193"	11	27.4	0	0	28.2	0.2065	127
1990	"DQFV3340"	3	27	1	2	25.8	0.2065	127
1990	"LQSU9411"	1	21.6	1	1	22	0.2065	127
1990	"QEKP7280"	1	24.8	0	0	23.5	0.2065	127
1990	"BIAD2808"	1	22.7	0	0	23.7	0.2065	127
1990	"JCDV2780"	1	18	1	1	21.3	0.2065	127
1990	"VEXB9928"	0	15.7	0	0	19.6	0.2065	127
1990	"LURL0735"	0	15.7	1	1	18.5	0.2065	127
1990	"TYDI2018"	0	14.4	1	1	18.7	0.2065	127
1990	"GWYH0528"	7	23	1	1	22.8	0.2065	127
1990	"NPHC1841"	0	14.6	1	1	15.2	0.2065	127
1990	"QTXS7654"	0	12.6	1	1	16	0.2065	127
1990	"NZUB6820"	0	11.4	0	0	15.2	0.2065	127
1990	"VCVX1272"	0	12.1	0	0	18.8	0.2065	127
1991	"CCWD0583"	1	18.9	1	1	20.4	1.681	172
1991	"SZMA6107"	1	16.5	0	0	21.6	1.681	172
1991	"HVYN7359"	0	15	0	0	18	1.681	172
1991	"NZWH1714"	1	21	1	1	23.5	1.681	172
1991	"HAVB5835"	4	26.4	1	1	23.9	1.681	172
1991	"SMDQ2290"	3	21.9	1	1	22.2	1.681	172
1991	"ODRU8464"	2	20.7	1	1	21.5	1.681	172
1991	"ABLC7555"	7	23.4	1	1	21.6	1.681	172
1991	"XONV4504"	0	11.6	0	0	16.5	1.681	172
1991	"QWLB0707"	0	14.2	1	1	16.1	1.681	172
1991	"WYKU5958"	0	16	1	1	15	1.681	172
1991	"KSXW4086"	1	16.9	1	1	21.4	1.681	172
1991	"GMKX5776"	6	23.2	1	1	22.4	1.681	172
1991	"YCWZ5440"	8	29	0	0	28.8	1.681	172
1991	"VJLT4336"	1	17.8	1	1	19.9	1.681	172
1991	"OLXE2082"	1	18.2	1	1	19.2	1.681	172
1991	"WCII9418"	7	29.4	0	0	28	1.681	172
1991	"NGFS0372"	1	18.4	1	1	21.1	1.681	172
1991	"EHQO4014"	1	19	1	1	19.9	1.681	172
1991	"WVQC1734"	1	18.4	1	1	19.9	1.681	172
1991	"ZUWE7125"	3	18.8	1	1	22.7	1.681	172
1991	"FYBD1604"	3	19.8	1	1	23.4	1.681	172
1991	"NTJM5675"	0	15.1	1	1	18.3	1.681	172
1991	"GMVV2910"	0	14	1	1	16.6	1.681	172
1991	"JMDP7874"	7	22.2	1	1	22.4	1.681	172
1991	"BYSW0032"	2	20.2	1	1	21.4	1.681	172
1991	"ORGU8001"	2	20.7	0	0	22.9	1.681	172
1991	"ECFM5012"	0	16.8	1	1	22.8	1.681	172
1991	"FWJD7188"	1	15.9	1	1	20.2	1.681	172
1991	"OJOU3473"	7	24.9	1	2	22.2	1.681	172
1991	"GTMJ4318"	1	20.1	1	1	22	1.681	172
1991	"TLJT1356"	4	24	1	1	22.4	1.681	172
1991	"PTSO3073"	1	16.9	1	1	21	1.681	172
1991	"CZQV7184"	1	20	0	0	22	1.681	172
1991	"JACI2490"	4	25.1	1	1	24	1.681	172
1991	"XEFP7712"	1	18	1	1	21.9	1.681	172
1991	"UXIJ5612"	7	27.6	1	2	24.3	1.681	172
1991	"YPJF8560"	1	20.4	0	0	22.9	1.681	172
1991	"WMXX1721"	3	25.7	0	0	26	1.681	172
1991	"KWPW5441"	0	14.7	1	1	20.4	1.681	172
1991	"DLMP3314"	4	22.6	1	1	22.6	1.681	172
1991	"LHIW9639"	0	14.2	1	1	18.6	1.681	172
1991	"UCVW0788"	4	26.7	1	1	25.4	1.681	172
1991	"GGSW0777"	6	23.8	1	1	24.5	1.681	172
1991	"NFGY1675"	0	15.4	0	0	19.6	1.681	172
1991	"SXSV1309"	0	14.6	0	0	18.7	1.681	172
1991	"WNFK0636"	1	14.7	1	1	16.7	1.681	172
1991	"LIXR0079"	5	29.2	1	1	29.3	1.681	172
1991	"HYVT7398"	2	17.7	1	2	21.6	1.681	172
1991	"YPXE5339"	2	17	1	1	17.5	1.681	172
1991	"GKJU0754"	1	18	1	1	17.4	1.681	172
1991	"VCVX1272"	1	18.8	1	1	31.7	1.681	172
1991	"QXGO2024"	3	22.2	1	1	24	1.681	172
1991	"JJEM3846"	2	18.1	1	1	19.5	1.681	172
1991	"NZUB6820"	1	15.2	1	1	21.2	1.681	172
1991	"PCQL3978"	5	24.6	1	2	23.8	1.681	172
1991	"CVSF8953"	1	22.1	0	0	24.3	1.681	172
1991	"JCDV2780"	2	21.3	1	1	20.6	1.681	172
1991	"VWRS8125"	0	17.9	1	1	19.6	1.681	172
1991	"ZLXL4165"	8	24.8	1	2	23.6	1.681	172
1991	"JRHQ9757"	2	24.4	1	1	26.2	1.681	172
1991	"CCAG4391"	3	25.3	1	2	25.1	1.681	172
1991	"SKWU0706"	8	22.3	1	1	22.9	1.681	172
1991	"IPXA1198"	0	15.7	1	1	19.2	1.681	172
1991	"GOHZ0812"	4	21.2	1	1	21	1.681	172
1991	"BAPV8775"	10	24.8	1	1	23.2	1.681	172
1991	"YXFL5427"	4	21.8	1	1	24.2	1.681	172
1991	"NQTJ5264"	3	22.4	0	0	21.6	1.681	172
1991	"NLUJ9833"	9	27.4	1	1	24.3	1.681	172
1991	"LQSU9411"	2	22	1	1	25	1.681	172
1991	"TRWH3798"	8	21.8	1	1	20.6	1.681	172
1991	"CDKO1193"	12	28.2	1	1	24	1.681	172
1991	"SXEO0331"	1	19.6	1	1	22.1	1.681	172
1991	"KEJV0999"	7	27.9	1	1	27.7	1.681	172
1991	"PVOS7521"	2	24.6	0	0	25.7	1.681	172
1991	"RVMQ2359"	1	21.2	0	0	23.6	1.681	172
1991	"MLRZ4002"	8	24	0	0	21.9	1.681	172
1991	"KDQB6402"	4	29	1	1	26.8	1.681	172
1991	"QUHQ1380"	11	28.6	1	1	27.8	1.681	172
1991	"SJQG6885"	8	25.1	1	1	24.2	1.681	172
1991	"XVYH9995"	0	15.7	1	1	20.2	1.681	172
1991	"TJPP8169"	0	13.1	1	1	12.2	1.681	172
1991	"QEKP7280"	2	23.5	0	0	25.1	1.681	172
1991	"ODEL5168"	1	18	1	1	19.7	1.681	172
1991	"HTOQ9828"	1	23.8	1	1	23.9	1.681	172
1991	"PXUL2533"	1	20.1	1	1	21.9	1.681	172
1991	"IRDL9855"	4	23.3	1	1	23.2	1.681	172
1991	"GIWJ6029"	0	12.4	1	1	16	1.681	172
1992	"WCII9418"	8	28	0	0	28.9	1.42575	158
1992	"BYSW0032"	3	21.4	1	1	17.9	1.42575	158
1992	"DYCH1553"	2	21.3	1	1	23.6	1.42575	158
1992	"PTSO3073"	2	21	0	0	21.3	1.42575	158
1992	"YPJF8560"	2	22.9	1	1	23.1	1.42575	158
1992	"SMDQ2290"	4	22.2	1	1	23.2	1.42575	158
1992	"VJLT4336"	2	19.9	1	1	22.3	1.42575	158
1992	"DLMP3314"	5	22.6	1	1	22.4	1.42575	158
1992	"XONV4504"	1	16.5	1	1	20.8	1.42575	158
1992	"HAVB5835"	5	23.9	1	1	25	1.42575	158
1992	"AZFT5998"	0	15.9	1	1	17.7	1.42575	158
1992	"GTMJ4318"	2	22	1	1	23.7	1.42575	158
1992	"WYKU5958"	1	15	1	1	18.9	1.42575	158
1992	"HTXR2187"	0	11	0	0	17.1	1.42575	158
1992	"TEYT4337"	0	13.6	1	1	19.3	1.42575	158
1992	"GMVV2910"	1	16.6	1	1	20.4	1.42575	158
1992	"YISF3642"	2	16.1	1	1	25.4	1.42575	158
1992	"YCWZ5440"	9	28.8	0	0	29.4	1.42575	158
1992	"QXGO2024"	4	24	1	1	27.5	1.42575	158
1992	"ORGU8001"	3	22.9	1	1	23.2	1.42575	158
1992	"GKJU0754"	2	17.4	1	1	22.1	1.42575	158
1992	"PSKG9930"	0	11.4	1	1	15.6	1.42575	158
1992	"LQSU9411"	3	25	1	1	25.4	1.42575	158
1992	"XCKB9358"	0	12.8	1	1	17.2	1.42575	158
1992	"VBLU8416"	0	13.4	0	0	17.4	1.42575	158
1992	"JMDP7874"	8	22.4	1	2	22	1.42575	158
1992	"CZQV7184"	2	22	1	1	22.8	1.42575	158
1992	"OLXE2082"	2	19.2	1	1	20.3	1.42575	158
1992	"FYBD1604"	4	23.4	1	2	25.3	1.42575	158
1992	"SZMA6107"	2	21.6	1	1	23.7	1.42575	158
1992	"KDQB6402"	5	26.8	1	2	30.6	1.42575	158
1992	"KWPW5441"	1	20.4	1	1	21.3	1.42575	158
1992	"ECFM5012"	1	22.8	1	1	25	1.42575	158
1992	"KWAQ8448"	0	13.1	1	1	18.1	1.42575	158
1992	"NLUJ9833"	10	24.3	1	2	25.5	1.42575	158
1992	"LHIW9639"	1	18.6	1	1	21	1.42575	158
1992	"PLHL8137"	0	10.6	1	1	15.7	1.42575	158
1992	"NZWH1714"	2	23.5	1	1	26.2	1.42575	158
1992	"JRHQ9757"	3	26.2	1	1	27.3	1.42575	158
1992	"NFGY1675"	1	19.6	1	1	22.5	1.42575	158
1992	"TOGM0132"	0	12.1	1	1	13.7	1.42575	158
1992	"CDKO1193"	13	24	1	1	25.3	1.42575	158
1992	"NTJM5675"	1	18.3	1	1	24.3	1.42575	158
1992	"HQOR8049"	0	7.4	0	0	15	1.42575	158
1992	"CCEL0636"	2	19.5	1	1	22.1	1.42575	158
1992	"DGCG9444"	0	14.1	1	1	19.1	1.42575	158
1992	"FWJD7188"	2	20.2	1	1	22.7	1.42575	158
1992	"MCUV9095"	8	27.6	1	2	27.1	1.42575	158
1992	"PCQL3978"	6	23.8	1	1	26.3	1.42575	158
1992	"HVYN7359"	1	18	1	1	22.2	1.42575	158
1992	"KSXW4086"	2	21.4	1	1	22.4	1.42575	158
1992	"TMGJ8937"	0	14.8	1	1	18.3	1.42575	158
